target_rank,feasible,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
4,True,0.0,0.0,0.0,0.0,1.5919187847434069,0.0,4.454917775290235
4,True,0.0,0.0,0.0,0.0,0.9290586331107464,0.0,6.749334892856029
4,True,0.0,0.0,0.0,0.0,2.7548674253221495,0.0,0.6577562725491481
4,True,0.0,0.0,0.0,0.0,1.1253448644639508,0.0,6.0642851180757855
4,True,0.0,0.0,0.0,0.0,0.7563516503483525,0.0,7.362007577017959
4,True,0.0,0.0,0.0,0.0,0.11272996522301293,0.0,9.72034649584006
4,True,0.0,0.0,0.0,0.0,1.120915992682714,0.0,6.080406177650111
4,True,0.0,0.0,0.0,0.0,1.1968438285831495,0.0,5.810633013636357
4,True,0.0,0.0,0.0,0.0,1.542951946734361,0.0,4.621748139176796
4,True,0.0,0.0,0.0,0.0,2.8310514950105614,0.0,0.4145462880718487
4,True,0.0,0.0,0.0,0.0,1.7592995515037901,0.0,3.893930125648981
4,True,0.0,0.0,0.0,0.0,2.1361654861063784,0.0,2.6418387432266988
4,True,0.0,0.0,0.0,0.0,2.302341990528034,0.0,2.1011418350815436
4,True,0.0,0.0,0.0,0.0,1.08175392045462,0.0,6.211702088364024
4,True,0.0,0.0,0.0,0.0,2.623814296741156,0.0,1.0809318072539154
4,True,0.0,0.0,0.0,0.0,0.6581049252342486,0.0,7.734062499612571
4,True,0.0,0.0,0.0,0.0,2.2972884576058616,0.0,2.1326430565480003
4,True,0.0,0.0,0.0,0.0,0.8192175107243127,0.0,7.152720262114098
4,True,0.0,0.0,0.0,0.0,0.21395287729021328,0.0,9.345330744373792
4,True,0.0,0.0,0.0,0.0,1.2425377233455714,0.0,5.650536707241871
4,True,0.0,0.0,0.0,0.0,2.349033921942889,0.0,1.9564906029653328
4,True,0.0,0.0,0.0,0.0,1.4782958721031525,0.0,4.848943459316901
4,True,0.0,0.0,0.0,0.0,2.0434976303172148,0.0,2.945555554240087
4,True,0.0,0.0,0.0,0.0,2.807188008490513,0.0,0.4930116672989704
4,True,0.0,0.0,0.0,0.0,1.6481144677494397,0.0,4.265050408751792
4,True,0.0,0.0,0.0,0.0,1.9792007662579825,0.0,3.160269363301693
4,True,0.0,0.0,0.0,0.0,2.2791699806161247,0.0,2.174972264254582
4,True,0.0,0.0,0.0,0.0,1.5673670064673906,0.0,4.546778513712313
4,True,0.0,0.0,0.0,0.0,0.8120044586891195,0.0,7.163454412549175
4,True,0.0,0.0,0.0,0.0,0.23904362466063978,0.0,9.249822200482704
4,True,0.0,0.0,0.0,0.0,1.8199343738777962,0.0,3.688771398222368
4,True,0.0,0.0,0.0,0.0,2.278405732734401,0.0,2.182641172436983
4,True,0.0,0.0,0.0,0.0,1.3290652153947202,0.0,5.353973047210103
4,True,0.0,0.0,0.0,0.0,2.281180355914536,0.0,2.1718002334878306
4,True,0.0,0.0,0.0,0.0,1.2372799065353268,0.0,5.676501500943365
4,True,0.0,0.0,0.0,0.0,2.65302686571931,0.0,0.9780329489813111
4,True,0.0,0.0,0.0,0.0,0.8635378595233445,0.0,6.98413507003508
4,True,0.0,0.0,0.0,0.0,2.77235780078533,0.0,0.6007639987377411
4,True,0.0,0.0,0.0,0.0,2.1151541738076096,0.0,2.720545174045641
